create_at,flight_number,departure_airport,arrival_airport,flight_date,departure_time,arrival_time,classes,price
00:27:01 15/6/2025,VJ1130,SGN,HAN,30/07/2025,10:25,12:35,Deluxe,"2,268,200 VND"
00:27:01 15/6/2025,VJ1130,SGN,HAN,30/07/2025,10:25,12:35,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,01/08/2025,05:00,07:10,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,01/08/2025,05:00,07:10,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,01/08/2025,05:00,07:10,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,01/08/2025,06:00,08:10,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,01/08/2025,06:00,08:10,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,01/08/2025,06:00,08:10,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,01/08/2025,06:15,08:25,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,01/08/2025,06:15,08:25,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,01/08/2025,06:15,08:25,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,01/08/2025,07:10,09:20,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,01/08/2025,07:10,09:20,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,01/08/2025,07:10,09:20,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,01/08/2025,07:30,09:40,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,01/08/2025,07:30,09:40,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,01/08/2025,07:30,09:40,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,01/08/2025,08:10,10:20,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,01/08/2025,08:10,10:20,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,01/08/2025,08:10,10:20,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,01/08/2025,09:20,11:30,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,01/08/2025,09:20,11:30,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,01/08/2025,09:20,11:30,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ1130,SGN,HAN,01/08/2025,10:25,12:35,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1130,SGN,HAN,01/08/2025,10:25,12:35,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ1130,SGN,HAN,01/08/2025,10:25,12:35,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,02/08/2025,05:00,07:10,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,02/08/2025,05:00,07:10,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,02/08/2025,05:00,07:10,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,02/08/2025,06:00,08:10,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,02/08/2025,06:00,08:10,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,02/08/2025,06:00,08:10,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,02/08/2025,06:15,08:25,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,02/08/2025,06:15,08:25,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,02/08/2025,06:15,08:25,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,02/08/2025,07:10,09:20,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,02/08/2025,07:10,09:20,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,02/08/2025,07:10,09:20,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,02/08/2025,07:30,09:40,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,02/08/2025,07:30,09:40,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,02/08/2025,07:30,09:40,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,02/08/2025,08:10,10:20,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,02/08/2025,08:10,10:20,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,02/08/2025,08:10,10:20,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,02/08/2025,09:20,11:30,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,02/08/2025,09:20,11:30,Deluxe,"2,397,800 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,02/08/2025,09:20,11:30,Eco,"1,803,800 VND"
00:37:12 15/6/2025,VJ1130,SGN,HAN,02/08/2025,10:25,12:35,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1130,SGN,HAN,02/08/2025,10:25,12:35,Deluxe,"2,397,800 VND"
00:37:12 15/6/2025,VJ1130,SGN,HAN,02/08/2025,10:25,12:35,Eco,"1,803,800 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,01/08/2025,05:00,07:10,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,01/08/2025,05:00,07:10,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,01/08/2025,05:00,07:10,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,01/08/2025,06:00,08:10,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,01/08/2025,06:00,08:10,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,01/08/2025,06:00,08:10,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,01/08/2025,06:15,08:25,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,01/08/2025,06:15,08:25,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,01/08/2025,06:15,08:25,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,01/08/2025,07:10,09:20,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,01/08/2025,07:10,09:20,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,01/08/2025,07:10,09:20,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,01/08/2025,07:30,09:40,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,01/08/2025,07:30,09:40,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,01/08/2025,07:30,09:40,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,01/08/2025,08:10,10:20,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,01/08/2025,08:10,10:20,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,01/08/2025,08:10,10:20,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,01/08/2025,09:20,11:30,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,01/08/2025,09:20,11:30,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,01/08/2025,09:20,11:30,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ1130,SGN,HAN,01/08/2025,10:25,12:35,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1130,SGN,HAN,01/08/2025,10:25,12:35,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ1130,SGN,HAN,01/08/2025,10:25,12:35,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,04/08/2025,05:00,07:10,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,04/08/2025,05:00,07:10,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,04/08/2025,05:00,07:10,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,04/08/2025,06:00,08:10,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,04/08/2025,06:00,08:10,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,04/08/2025,06:00,08:10,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,04/08/2025,06:15,08:25,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,04/08/2025,06:15,08:25,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,04/08/2025,06:15,08:25,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1180,SGN,HAN,04/08/2025,06:30,08:40,Business,"6,404,600 VND"
00:37:12 15/6/2025,VJ1180,SGN,HAN,04/08/2025,06:30,08:40,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1180,SGN,HAN,04/08/2025,06:30,08:40,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1180,SGN,HAN,04/08/2025,06:30,08:40,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,04/08/2025,07:10,09:20,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,04/08/2025,07:10,09:20,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,04/08/2025,07:10,09:20,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,04/08/2025,07:30,09:40,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,04/08/2025,07:30,09:40,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,04/08/2025,07:30,09:40,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,04/08/2025,08:10,10:20,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,04/08/2025,08:10,10:20,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,04/08/2025,08:10,10:20,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,04/08/2025,09:20,11:30,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,04/08/2025,09:20,11:30,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,04/08/2025,09:20,11:30,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,05/08/2025,05:00,07:10,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,05/08/2025,05:00,07:10,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,05/08/2025,05:00,07:10,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,05/08/2025,06:00,08:10,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,05/08/2025,06:00,08:10,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,05/08/2025,06:00,08:10,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,05/08/2025,06:15,08:25,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,05/08/2025,06:15,08:25,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,05/08/2025,06:15,08:25,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1180,SGN,HAN,05/08/2025,06:30,08:40,Business,"6,404,600 VND"
00:37:12 15/6/2025,VJ1180,SGN,HAN,05/08/2025,06:30,08:40,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1180,SGN,HAN,05/08/2025,06:30,08:40,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1180,SGN,HAN,05/08/2025,06:30,08:40,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,05/08/2025,07:10,09:20,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,05/08/2025,07:10,09:20,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,05/08/2025,07:10,09:20,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,05/08/2025,07:30,09:40,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,05/08/2025,07:30,09:40,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,05/08/2025,07:30,09:40,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,05/08/2025,08:10,10:20,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,05/08/2025,08:10,10:20,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,05/08/2025,08:10,10:20,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,05/08/2025,09:20,11:30,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,05/08/2025,09:20,11:30,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,05/08/2025,09:20,11:30,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,06/08/2025,05:00,07:10,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,06/08/2025,05:00,07:10,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,06/08/2025,05:00,07:10,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,06/08/2025,06:00,08:10,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,06/08/2025,06:00,08:10,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,06/08/2025,06:00,08:10,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,06/08/2025,06:15,08:25,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,06/08/2025,06:15,08:25,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,06/08/2025,06:15,08:25,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,06/08/2025,07:10,09:20,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,06/08/2025,07:10,09:20,Deluxe,"2,570,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,06/08/2025,07:10,09:20,Eco,"1,976,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,06/08/2025,07:30,09:40,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,06/08/2025,07:30,09:40,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,06/08/2025,07:30,09:40,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,06/08/2025,08:10,10:20,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,06/08/2025,08:10,10:20,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,06/08/2025,08:10,10:20,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,06/08/2025,09:20,11:30,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,06/08/2025,09:20,11:30,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,06/08/2025,09:20,11:30,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1130,SGN,HAN,06/08/2025,10:25,12:35,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1130,SGN,HAN,06/08/2025,10:25,12:35,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1130,SGN,HAN,06/08/2025,10:25,12:35,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,07/08/2025,05:00,07:10,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,07/08/2025,05:00,07:10,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,07/08/2025,05:00,07:10,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,07/08/2025,06:00,08:10,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,07/08/2025,06:00,08:10,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,07/08/2025,06:00,08:10,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,07/08/2025,06:15,08:25,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,07/08/2025,06:15,08:25,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,07/08/2025,06:15,08:25,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,07/08/2025,07:10,09:20,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,07/08/2025,07:10,09:20,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,07/08/2025,07:10,09:20,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,07/08/2025,07:30,09:40,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,07/08/2025,07:30,09:40,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,07/08/2025,07:30,09:40,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,07/08/2025,08:10,10:20,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,07/08/2025,08:10,10:20,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,07/08/2025,08:10,10:20,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,07/08/2025,09:20,11:30,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,07/08/2025,09:20,11:30,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,07/08/2025,09:20,11:30,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1130,SGN,HAN,07/08/2025,10:25,12:35,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1130,SGN,HAN,07/08/2025,10:25,12:35,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1130,SGN,HAN,07/08/2025,10:25,12:35,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,08/08/2025,05:00,07:10,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,08/08/2025,05:00,07:10,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,08/08/2025,05:00,07:10,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,08/08/2025,06:00,08:10,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,08/08/2025,06:00,08:10,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,08/08/2025,06:00,08:10,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,08/08/2025,06:15,08:25,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,08/08/2025,06:15,08:25,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,08/08/2025,06:15,08:25,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,08/08/2025,07:10,09:20,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,08/08/2025,07:10,09:20,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,08/08/2025,07:10,09:20,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,08/08/2025,07:30,09:40,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,08/08/2025,07:30,09:40,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,08/08/2025,07:30,09:40,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,08/08/2025,08:10,10:20,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,08/08/2025,08:10,10:20,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,08/08/2025,08:10,10:20,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,08/08/2025,09:20,11:30,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,08/08/2025,09:20,11:30,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,08/08/2025,09:20,11:30,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1130,SGN,HAN,08/08/2025,10:25,12:35,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1130,SGN,HAN,08/08/2025,10:25,12:35,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1130,SGN,HAN,08/08/2025,10:25,12:35,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,09/08/2025,05:00,07:10,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,09/08/2025,05:00,07:10,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,09/08/2025,05:00,07:10,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,09/08/2025,06:00,08:10,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,09/08/2025,06:00,08:10,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,09/08/2025,06:00,08:10,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,09/08/2025,06:15,08:25,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,09/08/2025,06:15,08:25,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,09/08/2025,06:15,08:25,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,09/08/2025,07:10,09:20,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,09/08/2025,07:10,09:20,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,09/08/2025,07:10,09:20,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,09/08/2025,07:30,09:40,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,09/08/2025,07:30,09:40,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,09/08/2025,07:30,09:40,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,09/08/2025,08:10,10:20,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,09/08/2025,08:10,10:20,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,09/08/2025,08:10,10:20,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,09/08/2025,09:20,11:30,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,09/08/2025,09:20,11:30,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,09/08/2025,09:20,11:30,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1130,SGN,HAN,09/08/2025,10:25,12:35,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1130,SGN,HAN,09/08/2025,10:25,12:35,Deluxe,"2,268,200 VND"
00:37:12 15/6/2025,VJ1130,SGN,HAN,09/08/2025,10:25,12:35,Eco,"1,674,200 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,01/08/2025,05:00,07:10,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,01/08/2025,05:00,07:10,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1198,SGN,HAN,01/08/2025,05:00,07:10,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,01/08/2025,06:00,08:10,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,01/08/2025,06:00,08:10,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1128,SGN,HAN,01/08/2025,06:00,08:10,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,01/08/2025,06:15,08:25,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,01/08/2025,06:15,08:25,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ196,SGN,HAN,01/08/2025,06:15,08:25,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,01/08/2025,07:10,09:20,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,01/08/2025,07:10,09:20,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ190,SGN,HAN,01/08/2025,07:10,09:20,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,01/08/2025,07:30,09:40,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,01/08/2025,07:30,09:40,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ120,SGN,HAN,01/08/2025,07:30,09:40,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,01/08/2025,08:10,10:20,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,01/08/2025,08:10,10:20,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ1126,SGN,HAN,01/08/2025,08:10,10:20,Eco,"1,544,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,01/08/2025,09:20,11:30,Skyboss,"5,000,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,01/08/2025,09:20,11:30,Deluxe,"2,138,600 VND"
00:37:12 15/6/2025,VJ124,SGN,HAN,01/08/2025,09:20,11:30,Eco,"1,544,600 VND"
